Alternatives,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Iconia Talk S,260.0,9.0,2016.0,7.0,128.0,16384.0,2048.0,13.0,2.0,4.0,2.0,170.0
Liquid Z6 Plus,169.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,250.0
Liquid X2,166.0,5.0,2015.0,5.0,32.0,32768.0,3072.0,13.0,13.0,4.0,2.0,230.0
Liquid Zest,125.0,4.0,2016.0,5.0,32.0,8192.0,1024.0,8.0,5.0,4.0,2.0,110.0
Predator 8,353.0,12.0,2015.0,8.0,256.0,32768.0,2048.0,5.0,2.0,4.0,2.0,350.0
Liquid Jade Primo,150.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,21.0,8.0,4.0,3.0,220.0
Iconia Tab 10 A3-A30,540.0,1.0,2015.0,10.0,256.0,16384.0,2048.0,5.0,2.0,4.0,2.0,250.0
Iconia Tab A3-A20,508.0,12.0,2014.0,10.0,256.0,16384.0,1024.0,5.0,2.0,4.0,2.0,190.0
Iconia Tab A3-A20FHD,508.0,12.0,2014.0,10.0,256.0,32768.0,2048.0,5.0,2.0,4.0,2.0,230.0
Liquid Jade Z,110.0,3.0,2015.0,5.0,32.0,8192.0,1024.0,13.0,5.0,4.0,2.0,200.0
Liquid Z520,118.0,4.0,2015.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,130.0
Liquid Z220,120.0,4.0,2015.0,4.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,90.0
Liquid M220,119.0,4.0,2015.0,4.0,32.0,4096.0,512.0,5.0,2.0,4.0,2.0,80.0
Liquid Z410,145.0,11.0,2015.0,4.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,130.0
Liquid Jade S,116.0,9.0,2014.0,5.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,200.0
Liquid Z500,150.0,5.0,2014.0,5.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,150.0
Liquid X1,164.0,5.0,2014.0,5.0,32.0,16384.0,2048.0,13.0,2.0,4.0,2.0,260.0
Liquid Jade,110.0,3.0,2014.0,5.0,32.0,8192.0,1024.0,13.0,2.0,4.0,2.0,180.0
Liquid E700,155.0,5.0,2014.0,5.0,32.0,16384.0,2048.0,8.0,2.0,4.0,2.0,200.0
Liquid E600,155.0,5.0,2014.0,5.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,200.0
Iconia Tab 8 A1-840FHD,360.0,12.0,2014.0,8.0,32.0,16384.0,2048.0,5.0,2.0,4.0,2.0,200.0
Iconia A1-830,380.0,13.0,2014.0,7.0,32.0,16384.0,1024.0,5.0,2.0,3.0,2.0,130.0
Liquid S2,229.0,8.0,2013.0,6.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,340.0
Liquid S1,195.0,6.0,2013.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,320.0
Liquid E2,140.0,4.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,2.0,3.0,2.0,180.0
Iconia Tab A511,777.0,1.0,2012.0,10.0,32.0,16384.0,1024.0,5.0,1.0,2.0,2.0,250.0
Iconia Tab A510,680.0,1.0,2012.0,10.0,32.0,16384.0,1024.0,5.0,1.0,2.0,2.0,230.0
Iconia Tab A501,777.0,1.0,2011.0,10.0,32.0,16384.0,1024.0,5.0,2.0,2.0,2.0,490.0
Iconia Smart,185.0,6.0,2011.0,4.0,32.0,8192.0,512.0,8.0,2.0,2.0,2.0,220.0
Iconia Tab A500,730.0,1.0,2011.0,10.0,32.0,16384.0,1024.0,5.0,2.0,2.0,2.0,200.0
Iconia Tab A101,470.0,4.0,2011.0,7.0,32.0,8192.0,1024.0,5.0,2.0,2.0,2.0,260.0
Iconia Tab A100,450.0,0.0,2011.0,7.0,32.0,8192.0,1024.0,5.0,2.0,2.0,2.0,100.0
Shine Lite,156.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,200.0
Fierce 4,163.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,8.0,5.0,4.0,2.0,80.0
X1,140.0,4.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,250.0
Pixi 4 (5),148.0,5.0,2016.0,5.0,32.0,8192.0,1024.0,8.0,5.0,4.0,2.0,60.0
Flash Plus 2,157.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,140.0
POP 7 LTE,295.0,10.0,2016.0,7.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,130.0
Idol 4s Windows,152.0,5.0,2016.0,5.0,256.0,65536.0,4096.0,21.0,8.0,4.0,1.0,440.0
Idol 4s,149.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,16.0,8.0,4.0,2.0,350.0
Idol 4,135.0,4.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,8.0,4.0,2.0,250.0
Pixi 4 (6) 3G,179.0,6.0,2016.0,6.0,64.0,8192.0,1024.0,13.0,8.0,4.0,2.0,120.0
Pop 3 (5.5),174.0,6.0,2016.0,5.0,256.0,8192.0,1024.0,5.0,2.0,4.0,2.0,120.0
Pop 3 (5),167.0,5.0,2015.0,5.0,32.0,8192.0,1024.0,5.0,5.0,4.0,2.0,110.0
Fierce XL,173.0,10.0,2015.0,5.0,32.0,16384.0,2048.0,8.0,2.0,4.0,2.0,130.0
Flash 2,140.0,4.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,230.0
Flash Plus,147.0,5.0,2015.0,5.0,32.0,16384.0,2048.0,13.0,8.0,4.0,2.0,130.0
Idol 3 (5.5),141.0,4.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,8.0,4.0,2.0,250.0
Idol 3 (4.7),110.0,3.0,2015.0,4.0,256.0,8192.0,1024.0,13.0,5.0,4.0,2.0,200.0
POP 10,380.0,13.0,2015.0,9.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,250.0
POP 8S,327.0,11.0,2014.0,8.0,32.0,8192.0,1024.0,5.0,3.0,4.0,2.0,250.0
Hero 8,310.0,10.0,2014.0,8.0,32.0,8192.0,2048.0,5.0,2.0,4.0,2.0,280.0
Hero 2,175.0,6.0,2014.0,6.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,460.0
Pop S9,182.0,6.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,280.0
Idol 2 S,126.0,4.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,1.0,4.0,2.0,280.0
Idol 2,128.0,4.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,200.0
Idol 2 Mini S,116.0,9.0,2014.0,4.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,200.0
Pop C9,189.0,6.0,2014.0,5.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,140.0
Pop C3,110.0,3.0,2013.0,4.0,32.0,4096.0,512.0,5.0,4033.0,4.0,2.0,80.0
Hero,177.0,6.0,2013.0,6.0,32.0,8192.0,2048.0,13.0,2.0,4.0,2.0,370.0
Idol S,110.0,3.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,1.0,4.0,2.0,160.0
Idol X,130.0,4.0,2013.0,5.0,32.0,8192.0,2048.0,13.0,2.0,4.0,2.0,370.0
One Touch Idol,109.0,3.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,230.0
One Touch Scribe HD-LTE,135.0,4.0,2013.0,5.0,32.0,4096.0,1024.0,8.0,1.0,4.0,2.0,350.0
X4 Soul,167.0,5.0,2017.0,5.0,256.0,65536.0,4096.0,13.0,13.0,4.0,2.0,420.0
X3 Soul Pro,144.0,8.0,2016.0,5.0,256.0,65536.0,4096.0,16.0,8.0,4.0,2.0,450.0
P8 Energy Pro,209.0,7.0,2016.0,6.0,256.0,65536.0,3072.0,13.0,5.0,4.0,3.0,420.0
X3 Soul,147.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,1.0,300.0
X2 Soul Style + Platinum,128.0,4.0,2015.0,5.0,256.0,16384.0,3072.0,13.0,5.0,4.0,2.0,200.0
X2 Soul Style,128.0,4.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,180.0
X2 Soul Lite,137.0,4.0,2015.0,5.0,256.0,16384.0,1024.0,8.0,5.0,4.0,2.0,160.0
V2 Viper X+,155.0,5.0,2015.0,5.0,256.0,16384.0,3072.0,13.0,5.0,4.0,1.0,300.0
V2 Viper X,155.0,5.0,2015.0,5.0,256.0,16384.0,1024.0,13.0,5.0,4.0,1.0,250.0
V2 Viper,143.0,4.0,2015.0,4.0,256.0,16384.0,1024.0,8.0,5.0,4.0,2.0,200.0
V2 Viper i,153.0,5.0,2015.0,5.0,256.0,16384.0,1024.0,5.0,2.0,4.0,2.0,120.0
P8 Energy mini,200.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,8.0,5.0,4.0,2.0,170.0
P6 Pro,154.0,5.0,2015.0,5.0,256.0,8192.0,1024.0,8.0,5.0,4.0,2.0,100.0
P8 Energy,212.0,7.0,2015.0,5.0,128.0,16384.0,2048.0,13.0,5.0,4.0,2.0,300.0
P5 Energy,156.0,5.0,2015.0,4.0,32.0,16384.0,1024.0,5.0,2.0,4.0,2.0,140.0
E4,130.0,4.0,2015.0,5.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,240.0
E3 Living,135.0,4.0,2015.0,4.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,140.0
X2 Xtreme,204.0,7.0,2015.0,6.0,256.0,65536.0,3072.0,24.0,8.0,4.0,2.0,490.0
Twin X2,149.0,5.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,230.0
P7 Seon,146.0,5.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,230.0
Impera S,156.0,5.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,170.0
Impera i,98.0,3.0,2014.0,4.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,160.0
V1 Viper S,143.0,8.0,2014.0,5.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,310.0
Viva H8,374.0,13.0,2013.0,7.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,190.0
P6 Quad Plus,131.0,4.0,2014.0,4.0,32.0,4096.0,1024.0,8.0,1.0,4.0,2.0,220.0
Viper i V1,143.0,4.0,2014.0,4.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,200.0
Viper V1,124.0,4.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,230.0
P5 Qmax,176.0,6.0,2013.0,5.0,32.0,4096.0,1024.0,8.0,1.0,4.0,2.0,230.0
P5 Quad,140.0,4.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,1.0,4.0,2.0,170.0
P6 Stony,131.0,4.0,2012.0,4.0,32.0,4096.0,1024.0,8.0,1.0,3.0,2.0,200.0
Fire HD 10,432.0,15.0,2015.0,10.0,256.0,16384.0,1024.0,5.0,720.0,2.0,2.0,210.0
Fire HD 8,311.0,10.0,2015.0,8.0,256.0,8192.0,1024.0,5.0,720.0,2.0,2.0,130.0
50 Graphite,160.0,5.0,2017.0,5.0,128.0,16384.0,1024.0,13.0,5.0,4.0,2.0,130.0
Diamond 2 Plus,193.0,6.0,2016.0,5.0,256.0,65536.0,4096.0,20.0,8.0,4.0,3.0,250.0
50b Helium 4G,160.0,5.0,2014.0,5.0,256.0,8192.0,1024.0,8.0,2.0,4.0,2.0,150.0
50 Diamond,142.0,1.0,2014.0,5.0,256.0,16384.0,2048.0,16.0,8.0,4.0,2.0,200.0
64 Xenon,232.0,8.0,2014.0,6.0,32.0,4096.0,1024.0,8.0,2.0,3.0,2.0,240.0
50c Oxygen,140.0,4.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,240.0
50 Helium 4G,160.0,5.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,280.0
Zenfone Live ZB501KL,120.0,4.0,2017.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,150.0
Zenfone 3s Max ZC521TL,175.0,5.0,2017.0,5.0,256.0,32768.0,3072.0,13.0,8.0,4.0,2.0,230.0
Zenpad 3S 10 Z500KL,490.0,8.0,2017.0,9.0,256.0,32768.0,4096.0,8.0,5.0,4.0,2.0,450.0
Zenfone AR ZS571KL,170.0,6.0,2017.0,5.0,256.0,65536.0,6144.0,23.0,8.0,4.0,2.0,800.0
Zenfone 3 Zoom ZE553KL,170.0,6.0,2017.0,5.0,256.0,32768.0,4096.0,12.0,13.0,4.0,2.0,550.0
Zenfone Go ZB690KG,270.0,9.0,2016.0,6.0,256.0,8192.0,1024.0,5.0,2.0,4.0,2.0,120.0
Zenpad 3 8.0 Z581KL,320.0,11.0,2016.0,7.0,256.0,32768.0,4096.0,8.0,2.0,4.0,1.0,390.0
Zenfone Go ZB500KL,150.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,130.0
Zenfone 3 Max ZC553KL,175.0,6.0,2016.0,5.0,256.0,32768.0,2048.0,16.0,8.0,4.0,2.0,280.0
Zenfone 3 Deluxe 5.5 ZS550KL,151.0,5.0,2016.0,5.0,256.0,65536.0,4096.0,16.0,8.0,4.0,2.0,440.0
Zenpad Z10 ZT500KL,490.0,8.0,2016.0,9.0,256.0,32768.0,3072.0,8.0,5.0,4.0,1.0,360.0
Zenpad 3S 10 Z500M,430.0,15.0,2016.0,9.0,256.0,32768.0,4096.0,8.0,5.0,4.0,2.0,400.0
Zenfone 3 Max ZC520TL,148.0,5.0,2016.0,5.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,230.0
Zenfone 3 Laser ZC551KL,150.0,5.0,2016.0,5.0,256.0,32768.0,2048.0,13.0,8.0,4.0,2.0,270.0
Zenfone 3 ZE520KL,144.0,8.0,2016.0,5.0,256.0,32768.0,3072.0,16.0,8.0,4.0,2.0,360.0
Zenfone 3 Ultra ZU680KL,233.0,8.0,2016.0,6.0,256.0,32768.0,3072.0,23.0,8.0,4.0,2.0,700.0
Zenfone 3 Deluxe ZS570KL,170.0,6.0,2016.0,5.0,256.0,65536.0,4096.0,23.0,8.0,4.0,3.0,690.0
Zenfone 3 ZE552KL,155.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,16.0,8.0,4.0,2.0,450.0
Zenfone Max ZC550KL (2016),202.0,7.0,2016.0,5.0,64.0,32768.0,2048.0,13.0,5.0,4.0,2.0,170.0
Zenfone Go ZB450KL,135.0,4.0,2016.0,4.0,256.0,8192.0,1024.0,8.0,2.0,4.0,2.0,110.0
Zenfone Go ZB452KG,125.0,4.0,2016.0,4.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,90.0
Zenfone Go ZB551KL,160.0,5.0,2016.0,5.0,64.0,16384.0,2048.0,8.0,5.0,4.0,2.0,150.0
Zenfone Go T500,153.0,5.0,2016.0,5.0,32.0,16384.0,2048.0,8.0,5.0,4.0,2.0,110.0
Live G500TG,140.0,4.0,2016.0,5.0,64.0,16384.0,2048.0,8.0,2.0,4.0,2.0,230.0
Zenfone 2 Laser ZE551KL,170.0,6.0,2015.0,5.0,256.0,16384.0,3072.0,13.0,5.0,4.0,2.0,180.0
Zenfone Zoom ZX551ML,185.0,6.0,2015.0,5.0,256.0,32768.0,4096.0,13.0,5.0,4.0,2.0,500.0
Zenpad 10 Z300C,510.0,12.0,2015.0,10.0,64.0,8192.0,2048.0,5.0,2.0,4.0,2.0,160.0
Zenfone Go ZC500TG,135.0,4.0,2015.0,5.0,64.0,8192.0,2048.0,8.0,2.0,4.0,2.0,130.0
Zenfone Max ZC550KL,202.0,7.0,2015.0,5.0,64.0,8192.0,2048.0,13.0,5.0,4.0,2.0,170.0
Zenfone 2 Deluxe ZE551ML,170.0,6.0,2015.0,5.0,256.0,65536.0,4096.0,13.0,5.0,4.0,2.0,500.0
Zenfone 2 Laser ZE601KL,190.0,6.0,2015.0,6.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,300.0
Zenfone 2 Laser ZE600KL,190.0,6.0,2015.0,6.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,360.0
Zenfone 2 Laser ZE550KL,170.0,6.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,220.0
Zenfone 2 Laser ZE500KG,140.0,4.0,2015.0,5.0,256.0,8192.0,2048.0,8.0,5.0,4.0,2.0,200.0
Zenfone 2 Laser ZE500KL,140.0,4.0,2015.0,5.0,256.0,8192.0,2048.0,13.0,5.0,4.0,2.0,210.0
Zenpad 7.0 Z370CG,272.0,9.0,2015.0,7.0,256.0,16384.0,2048.0,8.0,2.0,4.0,2.0,160.0
Zenfone 2E,155.0,5.0,2015.0,5.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,110.0
Pegasus 2 Plus,156.0,5.0,2015.0,5.0,32.0,32768.0,3072.0,13.0,8.0,4.0,2.0,300.0
Zenpad 8.0 Z380KL,350.0,12.0,2015.0,8.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,280.0
Zenfone Selfie ZD551KL,170.0,6.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,13.0,4.0,2.0,280.0
Zenfone 2 ZE500CL,155.0,5.0,2015.0,5.0,64.0,16384.0,2048.0,8.0,2.0,4.0,2.0,180.0
Zenfone 2 ZE550ML,170.0,6.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,250.0
Zenfone 2 ZE551ML,170.0,6.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,370.0
Fonepad 7 FE375CL,299.0,10.0,2015.0,7.0,64.0,8192.0,2048.0,5.0,2.0,4.0,2.0,220.0
Zenfone C ZC451CG,150.0,5.0,2015.0,4.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,90.0
Fonepad 7 FE171CG,280.0,9.0,2015.0,7.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,160.0
Zenfone Zoom ZX550,185.0,6.0,2015.0,5.0,64.0,16384.0,2048.0,13.0,5.0,4.0,2.0,400.0
Pegasus,140.0,4.0,2014.0,5.0,32.0,8192.0,2048.0,8.0,5.0,4.0,2.0,80.0
PadFone X mini,148.0,5.0,2014.0,4.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,160.0
Memo Pad 7 ME572CL,279.0,9.0,2014.0,7.0,64.0,16384.0,2048.0,5.0,2.0,4.0,2.0,240.0
Memo Pad 7 ME572C,269.0,9.0,2014.0,7.0,64.0,16384.0,2048.0,5.0,2.0,4.0,2.0,240.0
Zenfone 5 A500KL,145.0,11.0,2014.0,5.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,210.0
Memo Pad 8 ME181C,320.0,11.0,2014.0,8.0,64.0,16384.0,1024.0,5.0,2.0,4.0,2.0,150.0
Memo Pad 7 ME176C,295.0,10.0,2014.0,7.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,130.0
Fonepad 8 FE380CG,328.0,11.0,2014.0,8.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,200.0
Fonepad 7 FE375CG,299.0,10.0,2014.0,7.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,210.0
Transformer Pad TF303CL,595.0,1.0,2014.0,10.0,64.0,16384.0,2048.0,5.0,1.0,4.0,2.0,400.0
PadFone X,150.0,5.0,2014.0,5.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,320.0
PadFone S,150.0,5.0,2014.0,5.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,250.0
PadFone Infinity Lite,145.0,11.0,2014.0,5.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,510.0
Zenfone 6 A601CG,196.0,6.0,2014.0,6.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,200.0
Zenfone 6 A600CG,196.0,6.0,2014.0,6.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,250.0
Zenfone 5 A501CG,145.0,11.0,2015.0,5.0,64.0,8192.0,2048.0,8.0,2.0,4.0,2.0,120.0
Zenfone 5 A500CG,145.0,11.0,2014.0,5.0,64.0,8192.0,2048.0,8.0,2.0,4.0,2.0,130.0
PadFone mini 4G (Intel),150.0,5.0,2014.0,4.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,300.0
PadFone mini (Intel),116.0,9.0,2014.0,4.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,210.0
PadFone mini,105.0,3.0,2013.0,4.0,64.0,16384.0,1024.0,8.0,2.0,4.0,2.0,290.0
PadFone Infinity 2,145.0,11.0,2013.0,5.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,730.0
Memo Pad 10,522.0,1.0,2013.0,10.0,64.0,8192.0,1024.0,2.0,1.0,3.0,2.0,250.0
Memo Pad 8 ME180A,350.0,12.0,2013.0,8.0,64.0,16384.0,1024.0,5.0,1.0,3.0,2.0,150.0
Fonepad 7,328.0,11.0,2013.0,7.0,32.0,8192.0,1024.0,5.0,1.0,3.0,2.0,220.0
Fonepad Note FHD6,210.0,7.0,2013.0,6.0,64.0,16384.0,2048.0,8.0,1.0,3.0,2.0,350.0
Transformer Pad TF701T,585.0,1.0,2013.0,10.0,64.0,32768.0,2048.0,5.0,1.0,3.0,2.0,400.0
Memo Pad HD7 16 GB,302.0,10.0,2013.0,7.0,32.0,16384.0,1024.0,5.0,1.0,4.0,2.0,130.0
Fonepad,340.0,11.0,2013.0,7.0,32.0,8192.0,1024.0,3.0,1.0,3.0,2.0,260.0
Memo Pad Smart 10,580.0,1.0,2013.0,10.0,32.0,16384.0,1024.0,5.0,1.0,3.0,2.0,230.0
VivoTab RT TF600T,525.0,1.0,2012.0,10.0,64.0,32768.0,2048.0,8.0,2.0,4.0,2.0,420.0
Transformer Pad Infinity 700 LTE,625.0,1.0,2012.0,10.0,32.0,32768.0,1024.0,8.0,2.0,3.0,2.0,430.0
Transformer Pad Infinity 700 3G,598.0,1.0,2012.0,10.0,32.0,32768.0,1024.0,8.0,2.0,3.0,2.0,430.0
Transformer Pad TF300T,635.0,1.0,2012.0,10.0,32.0,16384.0,1024.0,8.0,1.0,3.0,2.0,290.0
Transformer Pad Infinity 700,598.0,1.0,2012.0,10.0,32.0,32768.0,1024.0,8.0,2.0,3.0,2.0,340.0
Transformer Prime TF700T,598.0,1.0,2012.0,10.0,32.0,32768.0,1024.0,8.0,2.0,3.0,2.0,400.0
Transformer TF101,680.0,1.0,2011.0,10.0,32.0,16384.0,1024.0,5.0,1.0,2.0,2.0,280.0
F5,135.0,4.0,2014.0,5.0,64.0,16384.0,2048.0,13.0,2.0,4.0,2.0,100.0
Aurora,178.0,6.0,2017.0,5.0,256.0,32768.0,4096.0,13.0,8.0,4.0,2.0,250.0
KEYone,180.0,6.0,2017.0,4.0,256.0,32768.0,3072.0,12.0,8.0,4.0,3.0,600.0
DTEK60,165.0,5.0,2016.0,5.0,256.0,32768.0,4096.0,21.0,8.0,4.0,2.0,530.0
DTEK50,135.0,4.0,2016.0,5.0,256.0,16384.0,3072.0,13.0,8.0,4.0,2.0,270.0
Priv,192.0,6.0,2015.0,5.0,256.0,32768.0,3072.0,18.0,2.0,4.0,2.0,450.0
Leap,170.0,6.0,2015.0,5.0,256.0,16384.0,2048.0,8.0,2.0,4.0,2.0,170.0
Porsche Design P'9983,140.0,4.0,2014.0,3.0,256.0,65536.0,2048.0,8.0,2.0,4.0,2.0,590.0
