Alternatives,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Passport,196.0,6.0,2014.0,4.0,256.0,32768.0,3072.0,13.0,2.0,4.0,2.0,310.0
Classic,177.0,6.0,2014.0,3.0,256.0,16384.0,2048.0,8.0,2.0,4.0,2.0,290.0
Z3,164.0,5.0,2014.0,5.0,32.0,8192.0,1024.0,5.0,1.0,4.0,2.0,110.0
Porsche Design P'9982,140.0,4.0,2013.0,4.0,64.0,65536.0,2048.0,8.0,2.0,4.0,2.0,390.0
Z30,170.0,6.0,2013.0,5.0,64.0,16384.0,2048.0,8.0,2.0,4.0,2.0,180.0
Q5,120.0,4.0,2013.0,3.0,32.0,8192.0,2048.0,5.0,2.0,4.0,2.0,150.0
Z10,137.0,4.0,2013.0,4.0,64.0,16384.0,2048.0,8.0,2.0,4.0,2.0,230.0
Q10,139.0,4.0,2013.0,3.0,64.0,16384.0,2048.0,8.0,2.0,4.0,2.0,170.0
Life One X2 Mini,152.0,5.0,2017.0,5.0,64.0,65536.0,4096.0,13.0,8.0,4.0,2.0,170.0
Studio M HD,150.0,5.0,2016.0,5.0,64.0,16384.0,1024.0,8.0,2.0,4.0,2.0,80.0
Pure XL,207.0,7.0,2015.0,6.0,64.0,65536.0,3072.0,24.0,8.0,4.0,2.0,310.0
Studio XL,177.0,6.0,2015.0,6.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,110.0
Studio Energy,180.0,6.0,2015.0,5.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,140.0
Studio X,154.0,5.0,2015.0,5.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,120.0
Studio 6.0 LTE,177.0,6.0,2014.0,6.0,64.0,16384.0,2048.0,13.0,5.0,3.0,2.0,210.0
Studio 5.0 HD LTE,164.0,5.0,2014.0,5.0,64.0,8192.0,1024.0,13.0,5.0,3.0,2.0,150.0
Studio 7.0,299.0,10.0,2014.0,7.0,64.0,8192.0,1024.0,5.0,2.0,3.0,2.0,130.0
Win HD,139.0,4.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,3.0,2.0,150.0
Studio 5.0 C HD,166.0,5.0,2014.0,5.0,64.0,4096.0,1024.0,8.0,2.0,3.0,2.0,110.0
Life 8,136.0,4.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,150.0
Studio 6.0 HD,206.0,7.0,2014.0,6.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,180.0
Studio 5.0 S II,155.0,5.0,2014.0,5.0,64.0,4096.0,1024.0,8.0,2.0,3.0,2.0,120.0
Studio 5.5 S,166.0,5.0,2014.0,5.0,64.0,4096.0,1024.0,8.0,2.0,3.0,2.0,130.0
Life View Tab,404.0,14.0,2014.0,8.0,64.0,8192.0,1024.0,5.0,5.0,4.0,2.0,360.0
Life Play S,109.0,3.0,2014.0,4.0,64.0,4096.0,1024.0,8.0,5.0,4.0,2.0,130.0
Life One M,144.0,8.0,2014.0,5.0,64.0,4096.0,1024.0,12.0,2.0,4.0,2.0,140.0
Life Play X,125.0,4.0,2013.0,4.0,32.0,16384.0,1024.0,8.0,2.0,4.0,2.0,200.0
Studio 5.3 S,190.0,6.0,2013.0,5.0,32.0,4096.0,1024.0,8.0,2.0,3.0,2.0,130.0
Studio 5.0 S,170.0,6.0,2013.0,5.0,32.0,4096.0,1024.0,8.0,2.0,3.0,2.0,130.0
Life One,145.0,11.0,2013.0,5.0,32.0,16384.0,1024.0,13.0,5.0,4.0,2.0,230.0
Life Play,125.0,4.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,180.0
Studio 5.3 II,210.0,7.0,2013.0,5.0,32.0,4096.0,512.0,8.0,2.0,3.0,2.0,160.0
Quattro 5.7 HD,243.0,8.0,2013.0,5.0,32.0,4096.0,1024.0,8.0,1.0,4.0,2.0,220.0
Vivo 4.65 HD,130.0,4.0,2012.0,4.0,32.0,4096.0,1024.0,8.0,1.0,3.0,2.0,210.0
Vivo 4.3,120.0,4.0,2012.0,4.0,32.0,4096.0,512.0,8.0,1.0,3.0,2.0,170.0
Aquaris X Pro,158.0,5.0,2017.0,5.0,256.0,65536.0,4096.0,12.0,8.0,4.0,2.0,370.0
Aquaris X,153.0,5.0,2017.0,5.0,256.0,32768.0,3072.0,16.0,8.0,4.0,2.0,290.0
Aquaris U Lite,140.0,4.0,2016.0,5.0,256.0,16384.0,2048.0,8.0,5.0,4.0,2.0,160.0
Aquaris U,140.0,4.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,190.0
Aquaris U Plus,139.0,4.0,2016.0,5.0,256.0,16384.0,2048.0,16.0,5.0,4.0,2.0,220.0
Aquaris X5 Plus,145.0,11.0,2016.0,5.0,256.0,16384.0,2048.0,16.0,8.0,4.0,2.0,300.0
Aquaris X5,148.0,5.0,2015.0,5.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,230.0
Aquaris M5,144.0,8.0,2015.0,5.0,64.0,16384.0,2048.0,13.0,5.0,4.0,2.0,260.0
Aquaris M5.5,162.0,5.0,2015.0,5.0,64.0,16384.0,2048.0,13.0,5.0,4.0,2.0,300.0
Aquaris M4.5,115.0,6.0,2015.0,4.0,64.0,8192.0,1024.0,8.0,5.0,4.0,2.0,180.0
Aquaris M10,470.0,4.0,2015.0,10.0,64.0,16384.0,2048.0,5.0,2.0,4.0,2.0,230.0
G'zOne CA-201L,173.0,10.0,2013.0,4.0,32.0,16384.0,1024.0,8.0,1.0,4.0,2.0,270.0
S30,181.0,6.0,2015.0,4.0,64.0,8192.0,1024.0,5.0,2.0,4.0,2.0,340.0
S40,185.0,6.0,2015.0,4.0,64.0,16384.0,1024.0,8.0,2.0,4.0,2.0,440.0
Q500 Millennium Ultra,149.0,5.0,2014.0,5.0,32.0,16384.0,2048.0,8.0,2.0,4.0,2.0,120.0
A119 Signature HD,177.0,6.0,2013.0,5.0,32.0,4096.0,1024.0,12.0,3.0,4.0,2.0,200.0
Note 5 Lite,148.0,5.0,2017.0,5.0,64.0,16384.0,3072.0,13.0,8.0,4.0,2.0,120.0
Conjr,148.0,5.0,2017.0,5.0,32.0,16384.0,3072.0,13.0,8.0,4.0,2.0,210.0
Mega 3,170.0,6.0,2016.0,5.0,32.0,16384.0,2048.0,8.0,8.0,4.0,2.0,110.0
Note 5,173.0,10.0,2016.0,5.0,128.0,32768.0,4096.0,13.0,8.0,4.0,2.0,180.0
Modena 2,143.0,4.0,2016.0,5.0,32.0,16384.0,2048.0,8.0,8.0,4.0,2.0,180.0
Mega,143.0,4.0,2016.0,5.0,32.0,16384.0,3072.0,8.0,8.0,4.0,2.0,80.0
Torino,163.0,5.0,2016.0,5.0,32.0,16384.0,3072.0,13.0,5.0,4.0,2.0,200.0
Note 3 Plus,168.0,5.0,2016.0,5.0,64.0,16384.0,3072.0,13.0,5.0,4.0,2.0,120.0
Max,170.0,6.0,2016.0,5.0,64.0,65536.0,4096.0,13.0,5.0,4.0,2.0,380.0
Porto S,125.0,4.0,2016.0,5.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,130.0
Torino S,120.0,4.0,2016.0,4.0,32.0,16384.0,2048.0,8.0,5.0,4.0,2.0,180.0
Note 3 Lite,142.0,1.0,2016.0,5.0,32.0,16384.0,3072.0,13.0,5.0,4.0,2.0,110.0
Modena,158.0,5.0,2015.0,5.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,160.0
Porto,119.0,4.0,2015.0,4.0,32.0,8192.0,1024.0,8.0,5.0,4.0,2.0,150.0
Venue 10 7000,597.0,1.0,2015.0,10.0,512.0,32768.0,2048.0,8.0,2.0,4.0,2.0,460.0
Venue 8 7000,305.0,10.0,2014.0,8.0,512.0,16384.0,2048.0,8.0,2.0,4.0,2.0,250.0
Venue 8,292.0,10.0,2013.0,8.0,32.0,16384.0,2048.0,5.0,2.0,4.0,2.0,130.0
Streak Pro D43,145.0,11.0,2011.0,4.0,32.0,8192.0,1024.0,8.0,1.0,2.0,2.0,450.0
Streak 10 Pro,727.0,1.0,2011.0,10.0,32.0,16384.0,1024.0,5.0,2.0,2.0,2.0,280.0
GSmart Classic Lite,145.0,11.0,2015.0,5.0,32.0,8192.0,512.0,5.0,2.0,1.0,2.0,80.0
GSmart Essence,125.0,4.0,2015.0,4.0,32.0,8192.0,512.0,5.0,2.0,2.0,2.0,70.0
GSmart Classic,150.0,5.0,2015.0,5.0,32.0,8192.0,1024.0,8.0,5.0,2.0,2.0,100.0
GSmart Mika M2,150.0,5.0,2014.0,5.0,32.0,8192.0,1024.0,13.0,5.0,4.0,2.0,190.0
GSmart Maya M1 v2,147.0,5.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,2.0,3.0,2.0,200.0
GSmart Sierra S1,168.0,5.0,2013.0,5.0,32.0,4096.0,1024.0,13.0,2.0,3.0,2.0,220.0
GSmart Simba SX1,165.0,5.0,2013.0,5.0,32.0,4096.0,1024.0,13.0,2.0,3.0,2.0,260.0
GSmart Maya M1,150.0,5.0,2013.0,4.0,32.0,4096.0,1024.0,8.0,2.0,3.0,2.0,220.0
S10,178.0,6.0,2017.0,5.0,256.0,65536.0,4096.0,16.0,20.0,4.0,2.0,380.0
M6s Plus,215.0,7.0,2017.0,6.0,256.0,65536.0,6144.0,12.0,8.0,4.0,2.0,460.0
A1 Plus,226.0,7.0,2017.0,6.0,256.0,65536.0,4096.0,13.0,20.0,4.0,1.0,370.0
A1,182.0,6.0,2017.0,5.0,256.0,65536.0,4096.0,13.0,16.0,4.0,2.0,280.0
F5,162.0,5.0,2017.0,5.0,256.0,32768.0,4096.0,13.0,8.0,4.0,2.0,250.0
Steel 2,160.0,5.0,2016.0,5.0,256.0,16384.0,3072.0,8.0,5.0,4.0,2.0,210.0
S9,168.0,5.0,2016.0,5.0,256.0,65536.0,4096.0,13.0,13.0,4.0,2.0,370.0
S6s,166.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,8.0,4.0,2.0,280.0
S6 Pro,170.0,6.0,2016.0,5.0,256.0,65536.0,4096.0,13.0,8.0,4.0,2.0,390.0
W909,207.0,7.0,2016.0,4.0,256.0,65536.0,4096.0,16.0,5.0,4.0,1.0,550.0
S8,147.0,5.0,2016.0,5.0,256.0,65536.0,4096.0,16.0,8.0,4.0,2.0,450.0
Marathon M5 enjoy,200.0,5.0,2015.0,5.0,256.0,16384.0,3072.0,8.0,5.0,4.0,2.0,340.0
Marathon M5 Plus,208.0,7.0,2015.0,6.0,256.0,65536.0,3072.0,13.0,5.0,4.0,1.0,420.0
Marathon M5 lite,183.0,6.0,2015.0,5.0,256.0,32768.0,3072.0,8.0,5.0,4.0,2.0,170.0
Pioneer P5W,153.0,5.0,2015.0,5.0,32.0,16384.0,1024.0,5.0,2.0,4.0,2.0,90.0
S6,147.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,290.0
F103,136.0,4.0,2015.0,5.0,32.0,16384.0,2048.0,8.0,5.0,2.0,2.0,130.0
Elife E8,210.0,7.0,2015.0,6.0,256.0,65536.0,3072.0,24.0,8.0,4.0,2.0,480.0
Marathon M4,176.0,6.0,2015.0,5.0,32.0,16384.0,2048.0,8.0,5.0,2.0,2.0,220.0
Marathon M5,211.0,7.0,2015.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,330.0
Marathon M3,180.0,6.0,2014.0,5.0,256.0,8192.0,1024.0,8.0,2.0,4.0,2.0,170.0
Pioneer P6,150.0,5.0,2015.0,5.0,32.0,8192.0,1024.0,5.0,2.0,4.0,2.0,120.0
Elite x3,195.0,6.0,2016.0,5.0,256.0,65536.0,4096.0,16.0,8.0,4.0,3.0,700.0
Pro Slate 12,850.0,1.0,2015.0,12.0,32.0,32768.0,2048.0,8.0,2.0,4.0,2.0,490.0
Pro Slate 10 EE G1,855.0,1.0,2015.0,10.0,32.0,16384.0,1024.0,5.0,2.0,4.0,2.0,240.0
Pro Slate 8,350.0,12.0,2015.0,7.0,32.0,16384.0,2048.0,8.0,2.0,4.0,2.0,390.0
Slate6 VoiceTab II,160.0,5.0,2014.0,6.0,64.0,16384.0,1024.0,8.0,2.0,3.0,2.0,200.0
Slate7 VoiceTab Ultra,239.0,8.0,2014.0,7.0,32.0,16384.0,2048.0,13.0,5.0,4.0,2.0,400.0
Slate7 VoiceTab,325.0,11.0,2014.0,7.0,32.0,16384.0,1024.0,5.0,2.0,3.0,2.0,180.0
Slate6 VoiceTab,160.0,5.0,2014.0,6.0,64.0,16384.0,1024.0,5.0,2.0,3.0,2.0,270.0
Slate8 Pro,453.0,1.0,2013.0,8.0,32.0,16384.0,1024.0,8.0,720.0,4.0,2.0,240.0
Slate10 HD,626.0,1.0,2013.0,10.0,32.0,16384.0,1024.0,5.0,2.0,3.0,2.0,220.0
U11,169.0,5.0,2017.0,5.0,256.0,65536.0,4096.0,12.0,16.0,4.0,3.0,750.0
One X10,175.0,6.0,2017.0,5.0,256.0,32768.0,3072.0,16.0,8.0,4.0,2.0,330.0
U Ultra,170.0,6.0,2017.0,5.0,256.0,65536.0,4096.0,12.0,16.0,4.0,3.0,750.0
U Play,145.0,11.0,2017.0,5.0,256.0,32768.0,3072.0,16.0,16.0,4.0,2.0,470.0
10 evo,174.0,6.0,2016.0,5.0,256.0,32768.0,3072.0,16.0,8.0,4.0,2.0,570.0
Desire 650,140.0,4.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,200.0
Desire 10 Pro,165.0,5.0,2016.0,5.0,256.0,65536.0,4096.0,20.0,13.0,4.0,2.0,460.0
Desire 10 Lifestyle,155.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,260.0
One A9s,149.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,350.0
Desire 728 Ultra,153.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,220.0
Desire 628,142.0,1.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,200.0
One M9 Prime Camera,158.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,4.0,4.0,2.0,390.0
Desire 830,156.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,13.0,4.0,4.0,2.0,280.0
One S9,158.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,4.0,4.0,2.0,270.0
10 Lifestyle,161.0,5.0,2016.0,5.0,256.0,32768.0,3072.0,12.0,5.0,4.0,2.0,420.0
10,161.0,5.0,2016.0,5.0,256.0,32768.0,4096.0,12.0,5.0,4.0,3.0,500.0
Desire 825,155.0,5.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,240.0
Desire 630,140.0,4.0,2016.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,190.0
Desire 530,140.0,4.0,2016.0,5.0,256.0,16384.0,1024.0,8.0,5.0,4.0,2.0,170.0
Desire 625,140.0,4.0,2016.0,5.0,256.0,8192.0,1024.0,5.0,1.0,4.0,2.0,70.0
One X9,170.0,6.0,2015.0,5.0,256.0,32768.0,3072.0,13.0,5.0,4.0,2.0,300.0
One M9s,158.0,5.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,4.0,4.0,2.0,270.0
Desire 728 dual sim,153.0,5.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,240.0
One E9s dual sim,165.0,5.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,4.0,4.0,2.0,310.0
Butterfly 3,161.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,20.0,13.0,4.0,2.0,300.0
One A9,143.0,4.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,4.0,4.0,2.0,300.0
One M9+ Supreme Camera,168.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,21.0,4.0,4.0,2.0,480.0
Desire 626s,138.0,4.0,2015.0,5.0,256.0,8192.0,1024.0,8.0,2.0,4.0,2.0,190.0
Desire 526,156.0,5.0,2015.0,4.0,256.0,8192.0,1024.0,8.0,2.0,4.0,2.0,110.0
One ME,155.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,20.0,4.0,4.0,2.0,340.0
Desire 820G+ dual sim,154.0,5.0,2015.0,5.0,32.0,16384.0,1024.0,13.0,8.0,4.0,2.0,180.0
Desire 326G dual sim,146.0,5.0,2015.0,4.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,130.0
One M9+,168.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,20.0,4.0,4.0,2.0,500.0
One M8s,160.0,5.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,330.0
One E9+,150.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,20.0,13.0,4.0,2.0,320.0
One E9,147.0,5.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,4.0,4.0,2.0,320.0
One M9,157.0,5.0,2015.0,5.0,256.0,32768.0,3072.0,20.0,4.0,4.0,2.0,420.0
Desire 820s dual sim,155.0,5.0,2015.0,5.0,32.0,16384.0,2048.0,13.0,8.0,4.0,2.0,370.0
Desire 626G+,138.0,4.0,2015.0,5.0,32.0,8192.0,1024.0,13.0,5.0,4.0,2.0,250.0
Desire 626,140.0,4.0,2014.0,5.0,32.0,16384.0,1024.0,13.0,5.0,4.0,2.0,180.0
Desire 526G+ dual sim,154.0,5.0,2015.0,4.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,160.0
Desire 826 dual sim,183.0,6.0,2015.0,5.0,256.0,16384.0,2048.0,13.0,4.0,4.0,2.0,200.0
Desire 620G dual sim,160.0,5.0,2014.0,5.0,32.0,8192.0,1024.0,8.0,5.0,4.0,2.0,190.0
Desire 620,160.0,5.0,2014.0,5.0,256.0,8192.0,1024.0,8.0,5.0,4.0,2.0,180.0
Desire 816G dual sim,158.0,5.0,2014.0,5.0,32.0,8192.0,16384.0,13.0,5.0,4.0,2.0,260.0
One (M8 Eye),160.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,260.0
Desire Eye,154.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,13.0,13.0,4.0,2.0,380.0
Desire 612,146.0,5.0,2014.0,4.0,256.0,8192.0,1024.0,8.0,1.0,4.0,2.0,240.0
Desire 820q dual sim,155.0,5.0,2014.0,5.0,256.0,16384.0,1024.0,13.0,8.0,4.0,2.0,260.0
Desire 820 dual sim,155.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,13.0,8.0,4.0,2.0,320.0
Desire 820,155.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,13.0,8.0,4.0,2.0,340.0
One (E8) CDMA,164.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,350.0
Desire 510,158.0,5.0,2014.0,4.0,256.0,8192.0,1024.0,5.0,1.0,4.0,2.0,200.0
One (M8) for Windows,160.0,5.0,2014.0,5.0,256.0,32768.0,2048.0,4.0,5.0,4.0,2.0,300.0
One (M8) for Windows (CDMA),160.0,5.0,2014.0,5.0,256.0,32768.0,2048.0,4.0,5.0,4.0,2.0,300.0
Butterfly 2,151.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,250.0
One Remix,137.0,4.0,2014.0,4.0,256.0,16384.0,1024.0,13.0,5.0,4.0,2.0,280.0
One (M8) dual sim,160.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,4.0,5.0,4.0,2.0,300.0
Desire 516 dual sim,160.0,5.0,2014.0,5.0,32.0,4096.0,1024.0,5.0,2.0,4.0,2.0,160.0
One (E8),145.0,11.0,2014.0,5.0,256.0,16384.0,2048.0,13.0,5.0,4.0,2.0,420.0
One mini 2,137.0,4.0,2014.0,4.0,256.0,16384.0,1024.0,13.0,5.0,4.0,2.0,250.0
Desire 616 dual sim,150.0,5.0,2014.0,5.0,32.0,4096.0,1024.0,8.0,2.0,4.0,2.0,180.0
One (M8) CDMA,160.0,5.0,2014.0,5.0,256.0,32768.0,2048.0,4.0,5.0,4.0,2.0,250.0
One (M8),160.0,5.0,2014.0,5.0,256.0,16384.0,2048.0,4.0,5.0,4.0,2.0,250.0
Desire 310 dual sim,140.0,4.0,2014.0,4.0,32.0,4096.0,512.0,5.0,480.0,4.0,2.0,140.0
Desire 310,140.0,4.0,2014.0,4.0,32.0,4096.0,512.0,5.0,480.0,4.0,2.0,150.0
Desire 816 dual sim,165.0,5.0,2014.0,5.0,256.0,8192.0,1024.0,13.0,5.0,4.0,2.0,250.0
Desire 816,165.0,5.0,2014.0,5.0,256.0,8192.0,1024.0,13.0,5.0,4.0,2.0,250.0
Desire 610,143.0,4.0,2014.0,4.0,256.0,8192.0,1024.0,8.0,1.0,4.0,2.0,200.0
Desire 501 dual sim,130.0,4.0,2013.0,4.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,190.0
Desire 700,149.0,5.0,2014.0,5.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,220.0
Desire 700 dual sim,149.0,5.0,2013.0,5.0,64.0,8192.0,1024.0,8.0,2.0,4.0,2.0,250.0
Desire 501,130.0,4.0,2013.0,4.0,32.0,8192.0,1024.0,8.0,2.0,4.0,2.0,240.0
One Max,217.0,7.0,2013.0,5.0,64.0,16384.0,2048.0,4.0,2.0,4.0,2.0,370.0
Desire 500,123.0,4.0,2013.0,4.0,64.0,4096.0,1024.0,8.0,1.0,4.0,2.0,180.0
8XT,120.0,4.0,2013.0,4.0,64.0,8192.0,1024.0,8.0,1.0,4.0,2.0,170.0
Butterfly S,160.0,5.0,2013.0,5.0,64.0,16384.0,2048.0,4.0,2.0,4.0,2.0,300.0
Desire 600 dual sim,130.0,4.0,2013.0,4.0,64.0,8192.0,1024.0,8.0,1.0,4.0,2.0,290.0
One Dual Sim,156.0,5.0,2013.0,4.0,64.0,32768.0,2048.0,4.0,2.0,4.0,2.0,300.0
Butterfly,140.0,4.0,2012.0,5.0,32.0,16384.0,2048.0,8.0,2.0,4.0,2.0,330.0
One SV CDMA,122.0,4.0,2012.0,4.0,32.0,8192.0,1024.0,5.0,1.0,4.0,2.0,180.0
One SV,122.0,4.0,2012.0,4.0,32.0,8192.0,1024.0,5.0,1.0,4.0,2.0,200.0
J,137.0,4.0,2012.0,4.0,32.0,16384.0,1024.0,8.0,1.0,4.0,2.0,220.0
DROID Incredible 4G LTE,132.0,4.0,2012.0,4.0,32.0,8192.0,1024.0,8.0,1.0,4.0,2.0,270.0
Evo 4G LTE,134.0,4.0,2012.0,4.0,32.0,16384.0,1024.0,8.0,1.0,4.0,2.0,180.0
Velocity 4G Vodafone,163.0,5.0,2012.0,4.0,32.0,16384.0,1024.0,8.0,1.0,3.0,2.0,160.0
Velocity 4G,163.0,5.0,2012.0,4.0,32.0,16384.0,1024.0,8.0,1.0,3.0,2.0,200.0
Rezound,170.0,6.0,2011.0,4.0,32.0,16384.0,1024.0,8.0,2.0,3.0,2.0,160.0
Vivid,176.0,6.0,2011.0,4.0,32.0,16384.0,1024.0,8.0,1.0,3.0,2.0,160.0
EVO Design 4G,147.0,5.0,2011.0,4.0,32.0,4096.0,768.0,5.0,1.0,3.0,2.0,140.0
Amaze 4G,172.0,7.0,2011.0,4.0,32.0,16384.0,1024.0,8.0,2.0,3.0,2.0,180.0
Raider 4G,177.0,6.0,2011.0,4.0,32.0,16384.0,1024.0,8.0,1.0,3.0,2.0,230.0
